name,population
Белгородская область,1 514 527
Брянская область,1 152 505
Владимирская область,1 325 510
Воронежская область,2 285 282
Ивановская область,914 725
Калужская область,1 070 853
Костромская область,571 900
Курская область,1 067 034
Липецкая область,1 126 263
Московская область,8 591 736
Орловская область,700 276
Рязанская область,1 088 918
Смоленская область,873 041
Тамбовская область,966 250
Тверская область,1 211 183
Тульская область,1 481 471
Ярославская область,1 194 605
Москва,13 104 177
Республика Карелия,527 880
Республика Коми,726 434
Архангельская область,1 005 687
Ненецкий АО,41 383
Архангельская обл. без НАО,964 304
Вологодская область,1 128 782
Калининградская обл.,1 032 343
Ленинградская область,2 023 767
Мурманская область,658 698
Новгородская область,575 926
Псковская область,587 786
Санкт-Петербург,5 600 044
Республика Адыгея,497 985
Республика Калмыкия,264 483
Республика Крым,1 916 805
Краснодарский край,5 819 345
Астраханская область,950 557
Волгоградская область,2 470 057
Ростовская область,4 164 547
Севастополь,558 273
Республика Дагестан,3 209 781
Республика Ингушетия,519 078
Кабардино-Балкарская Респ.,903 266
Карачаево-Черкесская Респ.,468 444
Респ. Северная Осетия-Алания,680 748
Чеченская Республика,1 533 209
Ставропольский край,2 891 204
Башкортостан,4 077 600
Марий Эл,672 321
Республика Мордовия,771 373
Татарстан,4 001 625
Удмуртская республика,1 442 251
Чувашия,1 173 177
Пермский край,2 508 352
Кировская область,1 138 112
Нижегородская область,3 081 817
Оренбургская область,1 841 377
Пензенская область,1 246 609
Самарская область,3 142 683
Саратовская область,2 404 944
Ульяновская область,1 181 006
Курганская область,761 586
Свердловская область,4 239 161
Тюменская область,3 851 234
Ханты-Мансийский автономный округ - Югра,1 730 353
Ямало-Ненецкий автономный округ,512 387
Тюменская обл. без а.о.,1 608 494
Челябинская область,3 407 145
Алтай,210 769
Республика Тыва,337 271
Республика Хакасия,530 233
Алтайский край,2 130 950
Красноярский край,2 845 545
Иркутская область,2 344 360
Кемеровская область,2 568 238
Новосибирская область,2 794 266
Омская область,1 832 064
Томская область,1 052 106
Республика Бурятия,974 628
Республика Саха (Якутия),997 565
Забайкальский край,992 429
Камчатский край,288 730
Приморский край,1 820 076
Хабаровский край,1 284 090
Амурская область,756 198
Магаданская область,134 315
Сахалинская область,460 535
Еврейская авт. область,147 458
Чукотский АО,47 840
